Date,LCRX,AMAT,LCRX % Change,AMAT % Change,AMAT Volume,LCRX Volume
2015-03-11,6.79997,21.0967,,,18052192.76,16066168.69
2015-03-12,6.75224,21.7507,-0.007019149,0.031000109,15923977.49,24276501.85
2015-03-13,6.83813,21.8014,0.012720223,0.002330959,16491507.6,21046696.44
2015-03-16,6.94067,22.0992,0.014995328,0.013659673,14389990.92,11506930.21
2015-03-17,6.86151,21.7677,-0.011405239,-0.015000543,14422453.17,10937134.9
2015-03-18,6.73204,21.9135,-0.018869024,0.006697997,25588803.91,54751353.11
2015-03-19,6.85878,21.6636,0.018826388,-0.011403929,10781599.32,27653638.43
2015-03-20,6.88323,21.6993,0.003564774,0.001647926,19283817.64,30016698.28
2015-03-23,6.81366,21.5612,-0.010107174,-0.006364261,12717476.15,15322607.91
2015-03-24,6.84259,21.4978,0.004245883,-0.002940467,13156475.05,19444490.44
2015-03-25,6.32026,20.3562,-0.07633513,-0.053103108,28611454.63,50180561.87
2015-03-26,6.1813,20.1468,-0.021986437,-0.010286792,38542175.86,59407300.87
2015-03-27,6.25894,20.5369,0.012560465,0.019362876,22396955.02,39328604.1
2015-03-30,6.27153,20.4843,0.002011523,-0.002561243,21521177.65,23978366.44
2015-03-31,6.10202,20.2927,-0.027028492,-0.009353505,15281811.01,49440814.23
2015-04-01,6.10406,20.1379,0.000334316,-0.007628359,17848196.04,30204335.3
2015-04-02,6.14694,20.0346,0.007024833,-0.005129631,10317473.47,24903813.62
2015-04-06,6.2857,19.9334,0.022573833,-0.005051261,35813120.96,31958520.39
2015-04-07,6.18305,19.7815,-0.016330719,-0.007620376,32008848.7,40926203.43
2015-04-08,6.32742,20.1289,0.023349318,0.017561863,20061436.56,25021237.48
2015-04-09,6.35518,20.248,0.004387254,0.005916866,15969749.23,15914086.55
2015-04-10,6.35071,20.2411,-0.000703363,-0.000340774,13389706.12,13810113.58
2015-04-13,6.31599,20.0862,-0.005467105,-0.007652746,9903818.129,14385638.89
2015-04-14,6.25524,19.9592,-0.009618445,-0.006322749,13738437.98,23346437.68
2015-04-15,6.29163,20.2828,0.005817523,0.016213075,16675302.82,28550054.28
2015-04-16,6.2369,19.6822,-0.008698859,-0.029611296,36909333.69,28228380.51
2015-04-17,6.13888,19.3318,-0.015716141,-0.017802888,23009826.69,22107963.27
2015-04-20,6.25437,19.574,0.018812878,0.01252858,14857813.13,33293106.34
2015-04-21,6.76262,20.0525,0.081263181,0.024445693,33381884.12,117193227
2015-04-22,6.80792,20.0684,0.006698587,0.000792919,12815829.03,32725145.46
2015-04-23,6.69663,19.9423,-0.016347137,-0.00628351,10327703.17,27725005.84
2015-04-24,6.66346,19.6098,-0.004953238,-0.016673102,15882717.13,33999432.4
2015-04-27,6.63143,17.9632,-0.004806812,-0.08396822,243918841.8,28580239.86
2015-04-28,6.63657,18.0286,0.000775097,0.003640777,61921971.58,19883083.09
2015-04-29,6.63573,18.0009,-0.000126571,-0.001536448,34766809.53,20678347.87
2015-04-30,6.56624,17.8024,-0.010472096,-0.011027226,36907787.25,18857432.98
2015-05-01,6.70965,17.9729,0.021840505,0.00957736,30399922.53,17080214.51
2015-05-04,6.68004,17.8847,-0.004413047,-0.004907388,16455933.33,12774229.84
2015-05-05,6.56786,17.4142,-0.016793313,-0.026307402,30930523.34,20097071.94
2015-05-06,6.53305,17.4876,-0.005300052,0.004214951,27152442.93,17578714.56
2015-05-07,6.55497,17.5949,0.003355248,0.006135776,15947376.66,19850011.89
2015-05-08,6.69141,17.713,0.020814741,0.006712172,17403638,16663562.83
2015-05-11,6.7862,17.9165,0.014165923,0.011488737,20940773.26,22424494.46
2015-05-12,6.67219,17.8915,-0.016800271,-0.001395362,16975215.38,16477523.21
2015-05-13,6.71063,17.9253,0.005761227,0.001889165,26470398.32,15965471.08
2015-05-14,6.79804,17.8648,0.013025603,-0.003375118,34346930.13,19328200.21
2015-05-15,6.83977,18.1686,0.006138534,0.017005508,61587423.69,15397097.97
2015-05-18,6.90362,18.1596,0.009335109,-0.00049536,27071151.31,14998718.41
2015-05-19,7.01791,18.0723,0.016555083,-0.004807375,24396489.96,28084522.37
2015-05-20,6.98134,17.9999,-0.005210953,-0.004006131,19464422.24,16409845.26
2015-05-21,7.05704,18.2151,0.010843191,0.011955622,13075825.18,13561497.36
2015-05-22,7.044,18.2063,-0.0018478,-0.000483116,14664730.18,18249671.23
2015-05-26,6.98562,18.0723,-0.008287905,-0.00736009,16721976.23,16954566.65
2015-05-27,7.18152,18.3899,0.028043323,0.017573856,18184566.42,30271075.42
2015-05-28,7.15716,18.4068,-0.00339204,0.000918983,20441799.51,14498744.64
2015-05-29,7.14562,18.1964,-0.001612371,-0.011430558,19753003.94,22659300.96
2015-06-01,7.24477,18.3621,0.013875633,0.009106197,13096716.8,34228292.47
2015-06-02,7.23527,18.4206,-0.001311291,0.00318591,17647975.27,24470683.03
2015-06-03,7.25584,18.4068,0.002843018,-0.000749161,10103655.06,25025802.93
2015-06-04,7.2083,18.1337,-0.006551964,-0.014836908,19562299.6,16713040.8
2015-06-05,7.24915,18.2151,0.005667078,0.00448888,14139632.09,12503703.57
2015-06-08,7.17162,17.9622,-0.010695047,-0.013884085,16704839.41,16272191.19
2015-06-09,7.14784,17.9999,-0.003315848,0.002098852,14071190.58,22319159.26
2015-06-10,7.20549,18.115,0.008065374,0.00639448,15753489.76,13445928.53
2015-06-11,7.19703,17.8828,-0.001174105,-0.012818107,18347550.61,11843145.41
2015-06-12,7.10244,17.7387,-0.013142921,-0.008058022,13506790.63,11985055.76
2015-06-15,7.08516,17.8191,-0.002432967,0.004532463,17323963.36,28076081.95
2015-06-16,7.19782,17.9155,0.015900841,0.005409925,12759459.86,16274479.07
2015-06-17,7.17162,17.6643,-0.003639991,-0.014021378,20441043.92,21588058.15
2015-06-18,7.3126,17.9332,0.019658041,0.015222794,17785014.45,17338796.4
2015-06-19,7.25682,17.8261,-0.00762793,-0.005972163,18776036.71,20748540.42
2015-06-22,7.29533,17.9522,0.005306732,0.007073897,14640613.71,12849853.53
2015-06-23,7.30502,18.0474,0.001328247,0.005302971,12195846.73,13808866.58
2015-06-24,7.25506,18.1686,-0.006839133,0.006715649,21232621.14,12511515.34
2015-06-25,7.30069,18.1337,0.006289404,-0.001920896,11862024.21,16725211.91
2015-06-26,7.2246,17.8828,-0.010422303,-0.013836117,18882119.79,35662782.49
2015-06-29,6.99279,17.3645,-0.032086205,-0.028983157,22177732.62,19366506.73
2015-06-30,7.09303,17.3735,0.014334765,0.000518299,17634936.77,19584700.34
2015-07-01,7.17356,17.6356,0.011353399,0.015086194,14448804.18,21144188.96
2015-07-02,7.25682,17.7288,0.011606511,0.005284765,10029542.58,17442008.62
2015-07-06,7.0748,17.4191,-0.025082612,-0.017468751,12786230.99,35153574.76
2015-07-07,6.9892,17.3298,-0.012099282,-0.005126556,23222844.17,32850566.59
2015-07-08,6.79649,16.771,-0.02757254,-0.032245035,20993910.51,26469248.66
2015-07-09,6.76865,16.7442,-0.004096232,-0.001597997,15723444.4,21218771.76
2015-07-10,6.84733,16.9685,0.011624179,0.013395683,20326001.52,20938908.47
2015-07-13,6.91146,17.4568,0.009365694,0.028776851,24293727.45,25460005.32
2015-07-14,6.9623,17.0766,0.007355899,-0.021779478,30738297.74,44350138.48
2015-07-15,6.93117,16.7898,-0.004471224,-0.016794912,24901410.73,22991527.83
2015-07-16,6.74428,16.1556,-0.026963702,-0.037772934,35759188.82,44464068.69
2015-07-17,6.73653,16.0662,-0.001149122,-0.005533685,14808310.78,19053407.36
2015-07-20,6.72072,16.0662,-0.002346906,0,13996049.48,11127193.77
2015-07-21,6.74594,16.1179,0.003752574,0.003217936,10427431.23,14535804.16
2015-07-22,6.66841,15.8111,-0.011492839,-0.019034738,13313874.92,16282496.95
2015-07-23,6.71555,16.0195,0.007069151,0.013180614,14823244.3,14225013.27
2015-07-24,6.57864,15.7029,-0.020387012,-0.019763413,16191133.63,19556895.39
2015-07-27,6.57864,15.7118,0,0.000566774,20396906.27,17814778.36
2015-07-28,6.77923,15.9283,0.030491105,0.013779452,15560615.36,26643580.94
2015-07-29,6.77204,15.8637,-0.001060592,-0.004055674,13178142.4,34151937.07
